id	goodinfo	condemn	qAnswered	totalCorrect	percCorrect	ansall	dowork	doromantic	doacademic	dodrugs	trustswork	trustsromantic	trustsacademic	trustsdrugs	trustgwork	trustgromantic	trustgacademic	trustgdrugs	likework	likeromantic	likeacademic	likedrugs	compq1work	compq1romantic	compq1academic	compq1drugs	compq2work	compq2romantic	compq2academic	compq2drugs	compq3work	compq3romantic	compq3academic	compq3drugs	compq4work	compq4romantic	compq4academic	compq4drugs	sumdo	sumtrusts	sumtrustg	sumlike	sumtotal	age	gender	edu	income	generaltrust	previousexperience
111	0	1	16	16	1	1	3	3	3	3	5	4	5	4	5	5	5	4	5	5	5	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5	4.5	4.75	4.75	4.75	32	2	6	7	7	2
112	0	0	8	7	0.875	0		4		4		4		4		4		4		4		4		1		1		1		1		3		1		2		2	4	4	4	4	4		1				
113	0	1	12	11	0.916666687	0	2	4		3	5	4		5	4	3		4	2	3		4	1	1		1	1	1		1	3	3		1	1	1		1	5	4.666666508	3.666666746	3	4.083333492		1				
114	1	0	4	3	0.75	0	2				5				5				6				2				1				3				1				6	5	5	6	5.5		2				
115	1	1	16	16	1	1	4	4	6	3	3	4	5	4	3	4	6	3	3	5	6	3	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	3.75	4	4	4.25	4	23	2	5	1	4	1
116	1	0	16	16	1	1	1	1	1	7	7	7	7	3	7	7	7	3	7	7	7	2	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.5	6	6	5.75	5.8125	30	1	2	5	6	2
117	0	1	16	16	1	1	6	5	1	3	5	3	7	6	5	6	7	6	3	5	6	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4.25	5.25	6	4.75	5.0625	27	1	5	5	6	1
118	0	0	16	16	1	1	3	4	3	2	5	4	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5	4.75	5	5	4.9375	29	2	6	4	5	1
119	0	0	16	16	1	1	3	1	1	2	5	6	6	6	6	5	5	6	5	5	6	6	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	6.25	5.75	5.5	5.5	5.75	27	1	5	5	6	1
120	1	1	16	16	1	1	2	3	2	1	5	5	6	6	5	4	5	4	6	5	5	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6	5.5	4.5	5	5.25	23	1	2	1	5	1
121	1	0	16	16	1	1	3	1	1	1	5	7	5	6	5	7	5	6	5	6	5	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6.5	5.75	5.75	5.5	5.875	31	1	6	7	4	1
122	1	1	16	16	1	1	2	2	2	2	5	6	6	6	6	5	5	5	5	6	4	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6	5.75	5.25	5	5.5	23	1	4	6	5	1
123	1	0	16	16	1	1	6	2	1	7	6	4	6	1	5	5	7	1	4	7	4	1	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4	4.25	4.5	4	4.1875	56	2	2	4	4	1
